ServiceDetailsID,ServiceID,Description,IGSTRate,IGSTAmount,HSNCode,QNTY,SparePart,Unit,DiscountRate,DiscountAmount,SalePrice,Amount,TaxableAmount,TotalAmount
"18844","4073","Courier Charge","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","110.00"
"18907","4054","Diesel","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","500.00"
"18913","4022","Steering Coloumn Service","0.00","0.00","0","0.00","","","0.00","0.00","","0.00","0.00","4500.00"
"18924","4073","Painting","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","15000.00"
"18933","4024","Denting","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","2000.00"
"18976","4022","Oil Pressure Switch","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","1600.00"
"18997","3882","Spare Parts","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","9500.00"
"18998","4022","Throttle Body Old","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","5500.00"
"19075","4171","Spare Parts","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","7185.00"
"19076","4171","Front Coil Spring","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","5734.00"
"19077","4171","Courier Charge","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","440.00"
"19078","4171","Wd 40","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","135.00"
"19079","4172","Starter Solenoid Switch","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","1980.00"
"19085","4054","Diesel For Wash","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","100.00"
"19086","4054","Spare Parts","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","4026.00"
"19089","4054","Wheel Bearing Lathe","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","250.00"
"19090","4193","Spare Parts","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","9424.00"
"19091","4193","Brake Pad","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","1024.00"
"19092","4193","Engine Oil","0.00","0.00","0","3.00","","Ltr","0.00","0.00","","0.00","0.00","1440.00"
"19093","4193","Oil Filter","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","107.00"
"19094","4193","Coolant","0.00","0.00","0","1.00","","Ltr","0.00","0.00","","0.00","0.00","400.00"
"19095","4193","Lower Arm Lathe","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","400.00"
"19102","4196","Spare Parts","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","850.00"
"19150","3882","Blot & Washer","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","80.00"
"19163","4208","Front Grill Chrome","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","2200.00"
"19164","4208","Hood Moulding","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","850.00"
"19165","4208","Rear Number Plate Garnish","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","2100.00"
"19166","4208","Cabin Filter","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","410.00"
"19167","4208","Brake Fluid","0.00","0.00","0","250.00","","Ml","0.00","0.00","","0.00","0.00","135.00"
"19168","4208","Wd 40","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","135.00"
"19169","4208","Tag","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","20.00"
