legacyId,foundInServiceEntry,customerLegacy,customerExists,vehicleLegacy,vehicleExists,recommendedAction
4314,no,,, , ,fix-servicedescription-or-add-jobcard
4316,no,,, , ,fix-servicedescription-or-add-jobcard
4317,no,,, , ,fix-servicedescription-or-add-jobcard
4318,no,,, , ,fix-servicedescription-or-add-jobcard
4319,no,,, , ,fix-servicedescription-or-add-jobcard
4321,no,,, , ,fix-servicedescription-or-add-jobcard
4323,no,,, , ,fix-servicedescription-or-add-jobcard
4324,no,,, , ,fix-servicedescription-or-add-jobcard
4325,no,,, , ,fix-servicedescription-or-add-jobcard
4327,no,,, , ,fix-servicedescription-or-add-jobcard
4328,no,,, , ,fix-servicedescription-or-add-jobcard
4329,no,,, , ,fix-servicedescription-or-add-jobcard
4330,no,,, , ,fix-servicedescription-or-add-jobcard
4331,no,,, , ,fix-servicedescription-or-add-jobcard
4332,no,,, , ,fix-servicedescription-or-add-jobcard
4333,no,,, , ,fix-servicedescription-or-add-jobcard
4334,no,,, , ,fix-servicedescription-or-add-jobcard
4335,no,,, , ,fix-servicedescription-or-add-jobcard
4336,no,,, , ,fix-servicedescription-or-add-jobcard
4337,no,,, , ,fix-servicedescription-or-add-jobcard
4342,no,,, , ,fix-servicedescription-or-add-jobcard
4343,no,,, , ,fix-servicedescription-or-add-jobcard
4344,no,,, , ,fix-servicedescription-or-add-jobcard
4345,no,,, , ,fix-servicedescription-or-add-jobcard
4346,no,,, , ,fix-servicedescription-or-add-jobcard
4349,no,,, , ,fix-servicedescription-or-add-jobcard
4353,no,,, , ,fix-servicedescription-or-add-jobcard
4354,no,,, , ,fix-servicedescription-or-add-jobcard
4355,no,,, , ,fix-servicedescription-or-add-jobcard
4356,no,,, , ,fix-servicedescription-or-add-jobcard
4357,no,,, , ,fix-servicedescription-or-add-jobcard
4358,no,,, , ,fix-servicedescription-or-add-jobcard
4360,no,,, , ,fix-servicedescription-or-add-jobcard
4362,no,,, , ,fix-servicedescription-or-add-jobcard
4363,no,,, , ,fix-servicedescription-or-add-jobcard
4365,no,,, , ,fix-servicedescription-or-add-jobcard
4366,no,,, , ,fix-servicedescription-or-add-jobcard
4368,no,,, , ,fix-servicedescription-or-add-jobcard
4369,no,,, , ,fix-servicedescription-or-add-jobcard
4370,no,,, , ,fix-servicedescription-or-add-jobcard
4376,no,,, , ,fix-servicedescription-or-add-jobcard
4377,no,,, , ,fix-servicedescription-or-add-jobcard
4378,no,,, , ,fix-servicedescription-or-add-jobcard
4379,no,,, , ,fix-servicedescription-or-add-jobcard
4380,no,,, , ,fix-servicedescription-or-add-jobcard
4381,no,,, , ,fix-servicedescription-or-add-jobcard
4382,no,,, , ,fix-servicedescription-or-add-jobcard
4386,no,,, , ,fix-servicedescription-or-add-jobcard
4387,no,,, , ,fix-servicedescription-or-add-jobcard
4388,no,,, , ,fix-servicedescription-or-add-jobcard
4390,no,,, , ,fix-servicedescription-or-add-jobcard
4392,no,,, , ,fix-servicedescription-or-add-jobcard
4393,no,,, , ,fix-servicedescription-or-add-jobcard
4395,no,,, , ,fix-servicedescription-or-add-jobcard
4396,no,,, , ,fix-servicedescription-or-add-jobcard
4398,no,,, , ,fix-servicedescription-or-add-jobcard
4399,no,,, , ,fix-servicedescription-or-add-jobcard
4401,no,,, , ,fix-servicedescription-or-add-jobcard
4402,no,,, , ,fix-servicedescription-or-add-jobcard
4403,no,,, , ,fix-servicedescription-or-add-jobcard
4405,no,,, , ,fix-servicedescription-or-add-jobcard
4406,no,,, , ,fix-servicedescription-or-add-jobcard
4407,no,,, , ,fix-servicedescription-or-add-jobcard
4408,no,,, , ,fix-servicedescription-or-add-jobcard
4410,no,,, , ,fix-servicedescription-or-add-jobcard
4412,no,,, , ,fix-servicedescription-or-add-jobcard
4413,no,,, , ,fix-servicedescription-or-add-jobcard
4414,no,,, , ,fix-servicedescription-or-add-jobcard
4418,no,,, , ,fix-servicedescription-or-add-jobcard
4419,no,,, , ,fix-servicedescription-or-add-jobcard
4420,no,,, , ,fix-servicedescription-or-add-jobcard
4422,no,,, , ,fix-servicedescription-or-add-jobcard
4423,no,,, , ,fix-servicedescription-or-add-jobcard
4424,no,,, , ,fix-servicedescription-or-add-jobcard
4425,no,,, , ,fix-servicedescription-or-add-jobcard
4426,no,,, , ,fix-servicedescription-or-add-jobcard
4430,no,,, , ,fix-servicedescription-or-add-jobcard
4431,no,,, , ,fix-servicedescription-or-add-jobcard
4437,no,,, , ,fix-servicedescription-or-add-jobcard
4438,no,,, , ,fix-servicedescription-or-add-jobcard
4439,no,,, , ,fix-servicedescription-or-add-jobcard
4443,no,,, , ,fix-servicedescription-or-add-jobcard
